read_id,alignment_len,M,X,D,I,M_CG,X_CG,D_CG,I_CG,mapq
249d806a-be2b-4a30-a27a-5e685fe3f62d,1058,1034,12,7,5,97,1,0,0,60
2534b37d-50f2-4265-ba62-7eeb7b40c177,1486,1399,27,51,9,105,0,1,0,60
25c210ff-0c2b-4b16-bd25-43863f6eb9dd,437,424,4,5,4,28,1,0,1,60
25e7e55b-5fca-4bc8-af4c-8ffea59b8af5,924,903,9,3,9,60,0,0,0,60
25f2a1b3-95ca-419c-9733-9653c2568536,307,288,6,5,8,18,0,0,0,60
270f3188-a3e4-42c3-9ea5-e596cea17e52,1011,914,56,26,15,66,7,2,1,60
27442ee5-eff3-4631-b7f9-350be6cfc604,3616,2501,509,348,258,177,18,7,6,53
2752d31f-f075-43c6-b5e6-99443966b8fb,1301,1241,22,26,12,67,0,0,0,60
27543315-5ef0-4e3d-ba6b-11da0289a0ef,191,177,3,5,6,14,1,2,0,60
27551d94-45ca-456f-a823-13de76ed0f49,1005,924,24,26,31,58,1,0,1,51
275e3f30-6a68-4643-8864-9260af8b0617,1426,1379,13,19,15,87,0,2,0,25
2793a3ee-c3a8-428b-9fd1-308cfe9cfa11,0,0,0,0,0,0,0,0,0,0
2845d18f-2e5b-4b8b-a94a-a9be0f6965dd,1902,1716,64,88,34,136,6,3,0,60
28889b4d-d0fb-4463-afb3-d05168dd6ae4,1112,1012,13,73,14,106,3,2,3,60
28c48e3b-4209-4469-8570-64ee35d22e72,1636,1550,30,37,19,136,1,0,0,60
28d09ca2-bd2e-403c-9764-ec4ac5569fb6,953,931,6,11,5,87,0,2,0,60
28d6ff0d-f752-4478-b0d4-476e90ccb9fa,1967,1829,52,60,26,151,4,1,1,60
292042f1-f16d-46e9-97ca-186d81b463b8,2734,2644,26,36,28,197,3,0,2,60
294501dd-2735-44cf-ad5c-d96351687347,0,0,0,0,0,0,0,0,0,0
29460d2e-aae6-4956-8d73-0aaa244f25ae,1362,1292,25,30,15,85,0,0,1,16
295d03f8-de83-4fe7-82b8-faca42be9abf,3950,3753,67,89,41,306,4,2,0,60
29615458-2853-4897-97e8-d8bb4fc427ef,2594,2517,23,35,19,143,0,0,0,60
29f9c597-f4b2-413a-be53-cd8cc2de5d0f,1852,1811,12,14,15,118,0,1,0,60
2a1e358c-737d-481c-a566-275731451a38,409,397,4,5,3,30,0,0,0,60
2a546cb3-bb5b-478a-a777-cf8be8cb160d,3138,2980,59,58,41,219,6,4,2,60
2a664080-cb0b-4c6b-8beb-435b04b6d36b,4881,4676,61,66,78,211,6,0,1,60
2a8d557b-bf8b-4a89-9c66-ad7a8a717d27,1661,1582,40,24,15,139,2,0,0,60
2ae919e3-1f89-43fb-b60f-4ae4e8dbf556,1691,1624,30,22,15,156,4,1,1,60
2c0a6d48-26ef-4e6a-b041-503cdf725835,2011,1883,38,64,26,118,1,0,4,60
2c8cdc15-8038-49e4-8826-4de2b177f6fb,5362,5105,104,74,79,364,2,3,1,60
2c98c5f7-745e-4c75-970c-e2ba55d4cfd3,330,307,6,15,2,19,1,0,0,60
2cb0b677-93f0-43ce-a75b-0e6584bb79f6,5385,5047,136,116,86,379,11,3,2,60
