read_id,alignment_len,M,X,D,I,M_CG,X_CG,D_CG,I_CG,mapq
12f1ce96-2a1e-452f-a42a-8e489e5d02a5,2829,2613,71,93,52,191,7,5,0,60
131b0d85-6ce5-454a-a5da-e0e34325e581,2078,1934,43,60,41,124,4,5,0,60
1325c1ae-074b-46d8-a86c-4eceeec9a8b4,0,0,0,0,0,0,0,0,0,0
13ac4a89-3cba-4529-b82a-959adc4e77be,2340,2232,48,36,24,88,7,1,0,60
145ac9f9-9129-41fd-9ddc-a86f6989659b,721,668,13,24,16,39,0,1,0,60
1496f6d4-b2f3-44be-8564-feac1bbfd545,2352,1744,217,230,161,110,30,14,3,60
14b596c4-6e35-4b74-aa1a-61c70b9d3714,1450,1331,43,46,30,108,6,2,0,60
151265f3-32dc-4828-abf3-ae7106d55442,2538,2380,58,62,38,136,3,1,0,60
1531cc4e-d967-46a8-992e-1be4ed4c6692,1208,915,124,103,66,6,4,0,1,60
15593b12-3fae-4882-a5e8-271486069af2,2381,2229,71,47,34,200,11,2,0,60
15b94581-82d5-4209-90f7-e4cad71dc31d,1503,1262,111,90,40,22,4,2,0,60
162b636d-3c46-42b9-a77b-d3a1ef2d2ff9,1455,1259,68,58,70,74,3,1,1,60
171ff8e4-64b2-415d-a9c7-655b49ac9e74,1320,1228,28,26,38,79,3,3,0,60
1770c66f-1c30-4f3a-8df8-ef3c2691fd02,1590,1524,31,24,11,25,1,0,0,60
177acba0-dd69-48a1-8aba-af08015b5049,3896,3685,67,82,62,293,2,3,1,60
17f5172e-0ce4-441c-8f7f-9fecf5391a4c,555,528,11,12,4,22,3,0,0,60
182048e1-87e5-49d6-a899-367f0d89bfca,1681,1545,50,43,43,131,4,3,1,60
1835323c-1cb6-41d1-a8a1-37e7f695f3d9,1841,1772,25,26,18,103,0,2,0,60
186b16ef-928f-4fec-b1b9-030d025a1745,1738,1655,26,29,28,122,2,0,0,60
18730bb5-0259-4fc6-a7e1-2ac25fa2fe70,323,292,10,17,4,21,1,1,0,60
18fa155f-ce83-4d92-9ee9-746d5d064a87,1541,1365,71,66,39,79,7,1,0,60
1915f827-a9ad-4922-830a-ff500e43b28e,2790,2674,39,46,31,124,5,2,1,60
19626e56-04ab-42fa-8cba-b102798f31ab,468,462,1,2,3,9,0,0,0,60
198f48b1-66f2-4320-8bd7-d691d596e09e,1355,1234,49,40,32,77,8,1,1,60
19def8f4-1b25-4b64-8e18-cd4ae847a9ef,1430,1295,59,51,25,47,6,0,0,60
1a14f948-23ac-4cba-9896-fdba2c9a1eea,4002,3678,106,126,92,99,6,3,0,60
1ad2a68b-d62c-42a6-8d2a-246c73de5469,2197,2047,53,39,58,173,3,0,2,60
1b3f3b51-5662-4891-8a23-161cd74132af,3919,3135,327,276,181,175,31,16,1,60
1baacdf5-f981-461c-b93d-edc04bdefe84,2325,2020,122,108,75,125,10,8,2,60
1c0a0ebc-1695-4419-8b22-edf94ef92e47,1882,1724,52,71,35,89,0,0,0,60
1c0a9e5e-dd0b-4900-a9c2-deaf817ff414,1317,1146,58,63,50,65,10,6,0,60
1c13be79-292b-4b3c-9da2-b0475cb8fd23,2058,1941,42,37,38,124,5,2,2,60
1c2aced2-3ec0-4335-a4d2-bf26d7966c8b,0,0,0,0,0,0,0,0,0,0
1c334352-d398-4fdd-bbec-2a788b0610ec,3798,3561,83,105,49,286,3,7,1,60
1d2456a0-2af2-4bca-9eab-8e4c8c1e6417,4498,4361,32,58,47,223,3,3,0,60
1db68887-e6de-4b3e-992e-5762ee807123,3455,2952,176,222,105,251,19,6,0,60
1dc14e9f-06be-42a2-a86a-e4467f20e535,8576,7634,258,517,167,459,35,16,0,60
1dd6bed1-c2ef-4d90-9cbe-79b0fe246e28,4778,4391,141,152,94,236,9,3,2,60
1dd9ade5-3721-4cab-b8f9-e7a981753543,2766,2639,44,52,31,146,3,3,0,60
1df06b23-214a-424c-8d06-c1c5424908a9,0,0,0,0,0,0,0,0,0,0
1e2008b6-8a0d-40ff-938d-b1d1425a221c,219,198,8,11,2,8,0,1,0,60
1e3ddfc0-e22d-4974-bfdd-88544b023769,0,0,0,0,0,0,0,0,0,0
1e9f266a-087b-4896-8265-ccc156facbac,3147,2796,151,118,82,183,21,6,2,60
1eac68ce-3aa0-43b8-8ed4-1dfcc84c58b7,621,545,37,17,22,33,2,0,0,60
1eb83bb2-7b27-4d98-b96d-489d579d2f48,2800,2607,69,70,54,174,5,1,0,60
1f6a50f1-631d-4056-b842-0afba2247e39,3592,3302,98,114,78,208,12,7,1,60
1f7e96da-54bf-4f52-9eac-29762704f1ca,585,491,33,50,11,28,5,3,0,60
1f91e61e-02b8-4a72-ad07-39b4926e8b1d,3880,3595,114,107,64,234,10,9,0,60
200943a5-baaa-47ee-b6df-8d81425bbcbf,250,207,24,7,12,12,3,1,1,4
207139c7-2bf6-472c-b5bc-c4c032598cc3,973,907,21,33,12,66,1,0,0,60
2073ab98-0d4c-4546-9c39-c241ae5bba37,1686,1583,38,38,27,129,1,1,0,60
207d3835-7f0c-4f5d-8872-2672d44462cf,1726,1652,20,34,20,104,3,1,0,60
20bfbdad-9de0-48fa-8b70-84e6a37ef018,3083,2860,84,87,52,237,12,7,1,60
20da931c-946b-4c55-8e37-9eee116c4dc0,3499,2980,189,208,122,194,18,4,1,60
20e5df32-a6ba-4575-99eb-730f4165e8f8,323,310,1,8,4,17,0,0,0,60
21500157-fed8-4f1f-9a9f-8c19cdba8ebe,2858,2558,107,114,79,147,9,8,1,60
2150fdba-ac1b-4b50-b706-e5c440d4fe2c,1286,1134,71,34,47,65,5,1,0,60
21591399-2c22-4fed-a54e-b05a76d7bc77,3372,3212,50,68,42,227,6,3,2,60
217113f9-1e87-4e4e-8eaa-93de5cc7a8b2,3849,3575,77,134,63,275,10,6,1,60
2190ee55-830c-468a-aa4f-504e8d5dd505,872,771,39,29,33,23,5,0,0,60
21dbbcd6-f9f4-4dc3-a6a0-dbe4cce97ac7,166,160,0,3,3,13,0,0,0,60
2200b5a6-8373-4c3c-b797-7c9073865783,994,886,28,60,20,75,4,3,0,60
2244f220-ae3f-4111-94b0-ec4827fac96c,0,0,0,0,0,0,0,0,0,0
22c312a2-db5f-4454-92c8-460442766af3,0,0,0,0,0,0,0,0,0,0
2322af48-0e9a-4d07-8914-a9fe77b9f929,1129,1011,38,49,31,75,3,7,0,60
23721e39-efed-4d68-995f-a3610cfffa5c,3022,2842,48,69,63,202,9,2,1,60
23a3e018-0322-416c-a2d2-2b8e4eb0e180,597,554,15,20,8,43,2,1,0,60
23c89d05-f3e4-4e14-ba09-76aeb5a16f9f,1532,1386,47,67,32,62,3,6,0,60
23ed6e32-2b0f-435e-b659-1a0c942d0b21,1630,1365,95,106,64,70,7,3,0,60
240465be-643f-4be4-8e3a-a7ecbc02569e,5140,4716,156,149,119,311,9,5,2,60
2406e21a-e554-4579-9967-ad75d850b3a1,725,688,14,13,10,49,1,1,0,60
244c13ac-c12f-4d00-80a6-4b52a81db1f5,3770,3623,52,70,25,215,6,2,0,60
24bd10fd-9473-4370-a84a-84bf312e67c3,7720,7225,151,211,133,463,12,7,0,60
24d95f00-8b5a-4923-ae76-80f561694a39,1509,1365,58,50,36,30,2,5,0,60
256cd2d0-e3aa-4621-90c2-dffb5da7c8d2,592,541,17,21,13,41,0,2,0,60
257b9ed7-d091-4f4f-a453-849c534e944d,1236,938,135,95,68,46,3,2,1,27
2653bc90-b457-4370-928a-b26e64be9153,529,495,18,10,6,37,1,0,0,60
267832aa-af7a-4a77-886f-a5e9ee844b45,4678,4221,193,166,98,270,23,5,2,60
269695fe-cf0a-4df1-b39a-e0380d3e66e2,592,514,31,32,15,20,3,0,2,60
26fff8ff-3f35-4ebf-b862-ba51615edd8d,1320,1256,21,25,18,97,3,3,0,60
271f1cb4-138e-4285-a0f3-c73ce6a833e4,766,717,26,12,11,61,2,0,1,60
27293df1-7c81-45f4-815e-7b271009ed10,1412,1330,32,28,22,57,3,1,0,60
278d8a82-aea6-47da-8f27-973f8c39fb61,22157,19854,809,776,718,1088,117,54,9,60
2843e147-5665-4972-a693-0a5a066cc07e,2252,2058,78,61,55,139,9,5,0,60
289413b6-c52e-4f87-ba27-1ea7155a1416,1454,1351,40,50,13,91,2,6,0,60
28d182a7-68c9-4383-83ac-b443a9f28ee3,2906,2730,64,61,51,174,6,2,1,60
29fccdcc-bad9-4c25-9c0c-84c6a07a143f,1473,1369,41,43,20,90,3,2,0,60
2a06006d-0271-4595-a01e-ebd320fc2786,289,271,3,9,6,4,0,0,0,60
2a2a31a6-31cc-4c6e-af02-d1513833613a,682,619,22,24,17,32,3,0,0,60
2a373612-a080-4d9c-8514-67f019bcc6c9,2304,2141,51,66,46,110,8,2,1,60
2b77a594-bb95-40dc-992d-27b0ce265f3b,0,0,0,0,0,0,0,0,0,0
2bb99bf7-43ce-409c-b90b-0e57d8cd9ff5,2407,2266,54,48,39,188,2,3,0,60
2bc558f6-d45b-4d1e-8e42-ded557c39875,1646,1546,24,44,32,93,2,1,0,60
2bd5b272-a4ad-465e-8fe2-2bf5d4333998,2105,1900,85,70,50,104,7,2,0,60
2c7560b0-95b8-4b87-a486-f3c5fca83ce2,2322,2137,69,68,48,112,7,0,0,60
2c8e5948-a182-4561-a2af-f240538deb80,9077,8500,192,233,152,544,13,0,1,60
2dda9d06-4a35-4f12-9c4b-f3b37367b312,14324,12700,474,686,464,810,34,21,1,60
2e10eb7a-fa2b-491b-9775-567ffb149330,621,524,35,37,25,26,5,2,1,60
2e2485eb-4101-4b74-86af-3df2c34ba416,820,758,23,23,16,61,0,1,0,60
2e7ad78f-6831-4376-be1c-f7a6da388e1d,1449,1327,58,35,29,95,4,0,0,60
2fa4bb06-acff-4f29-b038-7fe6e191b3ef,2832,2586,82,93,71,129,6,2,1,60
2fa51425-a821-494d-a8a4-3b1c3371a00d,2768,2523,82,96,67,220,5,1,0,60
2fbf7a10-49be-403e-ab5e-3777378e7fac,440,397,15,20,8,34,1,2,0,60
2fc4c20a-58e9-48ba-b3cf-f19bfe304047,913,819,36,32,26,54,4,4,0,60
300977f3-cffa-4dd7-bffa-ee33889280af,3785,3534,94,76,81,292,8,8,1,60
30250f96-84eb-4230-8ebf-6390a0392611,3134,2617,75,372,70,124,7,0,1,60
30292c60-9dd8-4a69-83af-a9fe980d2cbf,7870,7390,162,193,125,431,9,3,1,60
302ba537-5cbf-4e30-88c8-26959f59c90a,2032,1850,57,81,44,120,4,3,1,60
30a88ee3-5483-434e-b16d-232c9816aaaf,1974,1913,15,18,28,109,1,0,0,60
30c75694-25fa-4807-b6e7-e828d9f9ba2e,1308,1113,78,58,59,52,5,1,0,60
31182bb1-dc47-4327-aee9-ec6a3e1551f1,1100,1050,14,19,17,65,0,2,0,60
3184b1b1-e376-4068-a941-06d6866a46fb,0,0,0,0,0,0,0,0,0,0
318ed166-7de7-4315-aa9d-1c3841c85dd6,1021,965,21,25,10,58,6,0,1,60
31d4585a-a3c5-4730-9eed-d88ef9902e5f,1142,902,121,76,43,53,9,2,2,60
3226dd03-2375-4909-9312-a9fd7560be59,747,681,22,32,12,51,0,1,0,60
3278e2a3-d6bd-484d-a6f4-8dfc5ff01fa4,3045,2901,36,72,36,107,4,4,0,60
32a020bb-a34e-4817-b23a-c911839d9062,589,515,27,27,20,15,1,1,0,60
32bfcc9e-8209-4ea7-9f0c-277f0d6de393,1550,1460,33,37,20,114,4,0,0,60
32f1e388-d4af-43ad-a373-a747f16c3bc2,242,234,0,6,2,15,0,0,0,60
3335c474-2c7b-4ed4-b7c5-8098a4d603d6,1617,1483,60,35,39,121,6,1,0,60
3351cb79-da03-4156-bf02-ef348ba7977a,1422,1268,59,61,34,68,3,3,0,56
3391cc94-1219-4782-84dc-35834853ba4b,5084,4737,108,131,108,414,7,4,0,60
3412c150-7ec0-4f89-bc2e-f250c7e68b7d,2623,2533,28,33,29,117,6,3,1,60
3429874e-543d-4bf5-a8a0-9ddfbd81d516,2905,2725,55,77,48,112,7,3,1,60
3435ea06-df81-4c1b-b9b9-ab0fb37fc894,5187,4898,77,122,90,339,10,4,2,60
34baaf47-0032-4f37-b9fd-2173d8213ccc,3329,3131,66,91,41,148,4,3,0,60
34bc1d9f-89b2-40b0-8ad6-d3c8588700a5,1329,1219,32,42,36,78,0,1,0,60
34c6e43f-3065-4e53-bdb2-f86e3e664529,2073,1958,36,46,33,112,3,2,0,60
34f8ecc6-40aa-45a1-b316-6c66341aea92,220,183,14,13,10,8,1,0,0,41
36a9b46c-2b91-4bbe-af9a-e42ba6a70413,1844,1612,84,87,61,92,8,12,0,60
36bb23c4-09ae-4dd0-9ba3-034c32bdcda1,13083,12151,334,336,262,952,43,22,4,60
36dc56be-8311-4e96-a51c-0bbd68c4778a,3741,3478,83,106,74,228,8,2,1,60
37071bf5-b753-484b-a673-fc5accabc942,0,0,0,0,0,0,0,0,0,0
37ece3b9-6dec-47dd-a8d0-d4a0e4cc8d27,3220,2754,184,164,118,168,14,6,1,60
3806d6bd-5eb5-42ff-ada0-6bebc5d1befa,3975,3708,94,92,81,249,13,5,1,60
3827af19-bfb0-48e7-9f00-f58f118d2c21,15010,13858,380,471,301,956,34,10,2,60
386095ed-b915-4cda-8d94-d71d78153df1,4686,4513,56,75,42,85,2,1,0,60
38776a52-6c00-4071-a8c9-42c2ccd967c9,1003,932,20,34,17,44,0,0,0,60
38d71f5b-b23f-44ba-abe3-022e24309365,1292,1206,39,35,12,85,2,1,0,60
38fc96ec-f9b3-4c3d-91c1-34c18ad43323,3841,3644,50,98,49,179,2,5,0,60
391d48e8-e4d4-49eb-8d12-2486cb73eb66,1624,1418,79,74,53,96,8,1,1,60
39262daf-542f-4e6c-b5e8-12b5b9f11b84,1557,1394,46,65,52,60,5,3,0,60
39553db9-20bd-4bb8-b810-e0f790f0cd1c,670,575,37,33,25,28,5,2,0,60
39d23160-fd67-441e-b01b-4eb7945fb789,420,387,12,12,9,25,2,1,0,60
39dd0f07-1fd3-4cd0-ab1e-ece13a89d0f7,520,488,7,15,10,21,0,1,0,60
3a33f72a-1d05-4eca-97ab-108e5395724e,462,413,23,13,13,15,2,0,0,60
3a437c4c-e0c3-4103-9a73-e6acb36466aa,10297,9446,308,333,210,609,21,13,1,60
3a4c807d-1368-49e0-96ed-d81775269ea9,2990,2732,92,89,77,168,8,3,0,60
3a848020-77a7-470a-ae80-0b7c07178a5e,3108,2800,96,122,90,311,16,9,0,60
3a8c5db0-5cf3-49ac-a25c-c6cdb73b5b32,1543,1462,26,36,19,125,0,3,1,60
